"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","MADRO","0","low (single-agent, textual)","4","0","Q29","0"
"0","MADRO","0","high (multi-modal, temporal)","4","0","Q28","0"
"0","MADRO","0","low (single-agent, textual)","4","0","Q04","0"
"0","MADRO","0","high (multi-modal, temporal)","4","0","Q13","0"
"0","MADRO","0","medium (multi-agent, textual)","4","0","Q39","0"
"0","MADRO","0","medium (multi-agent, textual)","4","0","Q44","0"
"0","MADRO","0","high (multi-modal, temporal)","4","0","Q11","0"
"0","MADRO","0","medium (multi-agent, textual)","4","0","Q23","0"
"0","MADRO","0","low (single-agent, textual)","4","0","Q40","0"
"0","MADRO","0","out-of-scope (exception)","4","0","Q20","0"
"0","MADRO","0","high (multi-modal, temporal)","4","0","Q27","0"
"0","MADRO","0","high (multi-modal, temporal)","4","0","Q36","0"
"0","MADRO","0","high (multi-modal, temporal)","4","0","Q32","0"
"0","MADRO","0","out-of-scope (exception)","4","0","Q38","0"
"0","MADRO","0","out-of-scope (exception)","4","0","Q49","0"
"0","MADRO","0","medium (multi-agent, textual)","4","0","Q24","0"
"0","MADRO","0","high (multi-modal, temporal)","4","0","Q21","0"
"0","MADRO","0","low (single-agent, textual)","4","0","Q05","0"
"0","MADRO","0","medium (multi-agent, textual)","4","0","Q45","0"
"0","MADRO","0","low (single-agent, textual)","4","0","Q31","0"
"0","MADRO","0","out-of-scope (exception)","4","0","Q19","0"
"0","MADRO","0","medium (multi-agent, textual)","4","0","Q47","0"
"0","MADRO","0","high (multi-modal, temporal)","4","0","Q14","0"
"0","MADRO","0","low (single-agent, textual)","4","0","Q43","0"
"0","MADRO","0","low (single-agent, textual)","4","0","Q01","0"
"0","MADRO","0","high (multi-modal, temporal)","4","0","Q26","0"
"0","MADRO","0","out-of-scope (exception)","4","0","Q17","0"
"0","MADRO","0","low (single-agent, textual)","4","0","Q42","0"
"0","MADRO","0","high (multi-modal, temporal)","4","0","Q12","0"
"0","MADRO","0","out-of-scope (exception)","4","0","Q37","0"
"0","MADRO","0","medium (multi-agent, textual)","4","0","Q09","0"
"0","MADRO","0","out-of-scope (exception)","4","0","Q18","0"
"0","MADRO","0","medium (multi-agent, textual)","4","0","Q06","0"
"0","MADRO","0","low (single-agent, textual)","4","0","Q41","0"
"0","MADRO","0","low (single-agent, textual)","4","0","Q34","0"
"0","MADRO","0","out-of-scope (exception)","4","0","Q48","0"
"0","MADRO","0","low (single-agent, textual)","4","0","Q35","0"
"0","MADRO","0","medium (multi-agent, textual)","4","0","Q46","0"
"0","MADRO","0","high (multi-modal, temporal)","4","0","Q15","0"
"0","MADRO","0","medium (multi-agent, textual)","4","0","Q10","0"
"0","MADRO","0","low (single-agent, textual)","4","0","Q02","0"
"0","MADRO","0","out-of-scope (exception)","4","0","Q50","0"
"0","MADRO","0","medium (multi-agent, textual)","4","0","Q08","0"
"0","MADRO","0","low (single-agent, textual)","4","0","Q03","0"
"0","MADRO","0","out-of-scope (exception)","4","0","Q33","0"
"0","MADRO","0","out-of-scope (exception)","4","0","Q22","0"
"0","MADRO","0","high (multi-modal, temporal)","4","0","Q30","0"
"0","MADRO","0","out-of-scope (exception)","4","0","Q16","0"
"0","MADRO","0","medium (multi-agent, textual)","4","0","Q07","0"
"0","MADRO","0","medium (multi-agent, textual)","4","0","Q25","0"
